YEAR,STATE GEO,COUNTY GEO,COUNTY NAME,CITY/TOWN GEOID,CITY/TOWN NAME,NO. OF RENTER HOUSEHOLDS,NO. OF ELI HOUSEHOLDS,NO. OF ELI RENT BURDENED (30%),NO. OF ELI SEVERELY RENT BURDENED (50%),UNITS: AFFORDABLE,NO. UNITS: AFFORDABLE AND OCCUPIED BY ELI,NO. UNITS: AFFORDABLE AND VACANT,NO. UNITS: AFFORDABLE AND OCCUPIED BY VLI,NO. UNITS: AFFORDABLE AND OCCUPIED BY LI,NO. UNITS: AFFORDABLE AND OCCUPIED BY HI,NO. UNITS: AFFORDABLE AND AVAILABLE,AA UNITS PER 100 ELI HOUSEHOLDS,NO. OF TOTAL AA SUBSIDIZED UNITS,MARKET AA UNITS PER 100 ELI HOUSEHOLDS
2016,25,3,Berkshire County,45420,New Marlborough ,87.5,28.6,22.9,15.8,22.1,12.6,0.5,4.0,2.2,3.4,13.1,45.7,0.0,45.7
2016,25,9,Essex County,45175,Newbury ,430.2,130.0,104.3,73.2,90.9,60.8,0.0,14.4,5.3,10.3,60.8,46.7,53.9,5.3
2016,25,9,Essex County,45245,Newburyport ,2042.2,617.3,495.0,347.5,431.3,288.6,0.0,68.5,25.4,48.9,288.6,46.7,165.1,20.0
2016,25,17,Middlesex County,45560,Newton ,9087.1,1405.4,1100.4,809.7,1185.9,705.8,8.6,148.9,118.9,212.3,714.4,50.8,630.9,5.9
2016,25,21,Norfolk County,46050,Norfolk ,153.1,35.5,26.4,18.9,32.1,19.2,0.0,6.2,2.5,4.2,19.2,54.1,2.7,46.6
2016,25,3,Berkshire County,46225,North Adams ,2829.9,924.4,740.7,511.5,715.8,406.5,11.5,128.1,71.9,109.3,418.0,45.2,681.2,0.0
2016,25,9,Essex County,46365,North Andover ,2916.7,591.1,349.3,313.3,545.3,304.2,67.5,90.1,54.5,96.5,371.8,62.9,173.9,33.5
2016,25,5,Bristol County,46575,North Attleborough ,2969.2,538.8,456.2,364.6,382.9,156.2,0.0,93.7,40.4,92.6,156.2,29.0,27.4,23.9
2016,25,27,Worcester County,47135,North Brookfield ,556.6,127.5,107.0,65.4,107.5,59.4,4.9,18.0,10.6,19.5,64.3,50.4,16.0,37.9
2016,25,17,Middlesex County,48955,North Reading ,721.0,182.9,140.6,119.0,131.4,71.7,0.0,21.2,19.1,19.4,71.7,39.2,26.5,24.7
2016,25,15,Hampshire County,46330,Northampton ,5158.3,1485.5,1222.7,822.2,1115.2,664.2,25.2,119.4,93.2,238.4,689.4,46.4,502.8,12.6
