town,percent
Clinton ,0.14765654293213348
Cohasset ,0.27447250086475267
Concord ,0.22428047491763536
Cummington,0.24701385570950787
Middlefield,0.24701385570950787
Plainfield,0.24701385570950787
Worthington,0.24701385570950787
Dalton ,0.32667799490229393
Danvers ,0.25367396291932787
Dartmouth ,0.1834761848851317
Dedham ,0.2928299908244855
Deerfield ,0.24734914208598419
Dennis ,0.23374376039933442
Dighton ,0.24804381846635368
Douglas ,0.20347562004386702
Dover ,0.24151857835218093
Dracut ,0.21849073081656148
Dudley ,0.20346320346320346
Dunstable ,0.2191358024691358
Duxbury ,0.27311208940060955
East Bridgewater ,0.18039538714991765
East Brookfield ,0.22905982905982908
East Longmeadow ,0.317172126990567
Eastham ,0.23366230994931983
Easthampton  ,0.28797516978580867
Easton ,0.2439997201035617
Edgartown,0.23391812865497075
Erving,0.24744276668290305
Warwick,0.24744276668290305
Wendell,0.24744276668290305
Essex ,0.3024193548387097
Everett ,0.21445840348832187
Fairhaven ,0.28065009343677444
Fall River ,0.34309492346436704
Falmouth ,0.24030731327800828
Fitchburg ,0.3098968011206083
Florida,0.326271186440678
Savoy,0.326271186440678
Foxborough ,0.2320457661576285
Framingham ,0.2581355574819015
Franklin  ,0.23201692524682652
Free ,0.18337475835404585
Gardner ,0.30989505247376314
Georgetown,0.2026558891454965
Gloucester ,0.3022721302863147
Goshen,0.24740843123704215
Williamsburg,0.24740843123704215
Grafton ,0.1476821533543031
Granby ,0.2879224521875819
Great Barrington ,0.32670296699633294
Greenfield  ,0.24726017546382856
Groton ,0.22354173943415998
Groveland ,0.2025684516598013
Hadley ,0.2880052364588447
Halifax ,0.26596823251098345
Hamilton ,0.26084236864053373
Hampden ,0.3170731707317074
Hancock,0.32655921513665037
New Ashford,0.32655921513665037
Richmond,0.32655921513665037
Hanover ,0.3040816326530612
Hanson ,0.26610169491525426
Hardwick,0.22908921933085502
New Braintree,0.22908921933085502
Harvard ,0.2570876288659794
Harwich ,0.23371104815864022
Hatfield ,0.24716732542819497
Haverhill ,0.35082424914290405
Hingham ,0.27458736870822537
Hinsdale ,0.3266152934202727
Holbrook ,0.2928685405670799
Holden ,0.22915216483363499
Holland Wales ,0.28793388429752065
Holliston ,0.23741836342681522
Holyoke ,0.34159852281719866
Hopedale ,0.3079287031346036
Hopkinton ,0.2374008399440037
Hubbardston ,0.2096096096096096
Hudson ,0.2243271221532091
Hull ,0.274548969072165
Huntington ,0.2883986928104575
Ipswich ,0.3022711004099694
Kingston ,0.2731814548361311
Lakeville ,0.2660704304080492
Lancaster ,0.25682218309859156
Lanesborough ,0.32664756446991405
Lawrence ,0.35082497296487036
Lee ,0.3266057548070367
Leicester ,0.22916340891321346
Lenox ,0.32668208983998454
Leominster ,0.3098997610816727
Leverett,0.24738992283250114
New Salem,0.24738992283250114
Shutesbury,0.24738992283250114
Lexington ,0.17524498984726758
Lincoln ,0.17530368884431072
Littleton ,0.22424242424242422
Longmeadow ,0.31718720778006354
Lowell ,0.3535558257893078
Ludlow ,0.31718681745376887
Lunenburg ,0.3099064523866635
Lynn ,0.39410343966019823
Lynnfield ,0.25367925959641935
Malden ,0.23686808410319882
Manchester-by-the-Sea ,0.3022943980929678
Mansfield ,0.24807926445274778
Marblehead ,0.302281155185976
Marion ,0.26499032882011603
Marlborough ,0.25813684466088743
Marshfield ,0.2731657067940254
Mashpee,0.24025299726234306
Mattapoisett ,0.265
Maynard ,0.22429906542056074
Medfield ,0.23740554156171284
Medford ,0.23686812507724633
Medway ,0.23734269827333918
Melrose ,0.23879127144560203
Mendon ,0.3077244258872652
Merrimac ,0.20274521018015443
Methuen  ,0.3508157828209167
Middleborough ,0.2661495648054947
Middleton ,0.2607049917198959
Milford ,0.26886556721639177
Millbury ,0.22917683139332265
Millis ,0.23741131683682298
Millville ,0.3078175895765472
Milton ,0.2539151300833544
Monson ,0.28801693259524586
Montague ,0.24729037834962428
Monterey,0.3267223382045929
Tyringham,0.3267223382045929
Nahant ,0.3942269671807038
Nantucket ,0.2844349680170576
Natick ,0.25814920717442164
Needham ,0.24138510674062869
New Bedford ,0.2806386132373588
New Marlborough ,0.32685714285714285
Newbury ,0.302185030218503
Newburyport ,0.3022720595436294
Newton ,0.15465880203805396
Norfolk ,0.23187459177008493
North Adams ,0.32665465210784833
North Andover ,0.20266054102238834
North Attleborough ,0.1814630203421797
North Brookfield ,0.2290693496227093
North Reading ,0.25367545076282944
Northampton ,0.2879824748463641
Northborough ,0.14761586452762923
Northbridge ,0.20345695117405888
Northfield ,0.24724517906336088
Norton ,0.24809893874822425
Norwell ,0.30417847025495753
Norwood ,0.2928397565922921
Oak Bluffs ,0.23375671714704446
Oakham ,0.22950819672131148
Orange ,0.24730137119517653
Orleans ,0.23376623376623376
Otis,0.32687224669603526
Sandisfield,0.32687224669603526
Oxford ,0.2034528552456839
Palmer  ,0.28800675675675674
Paxton ,0.22893258426966293
Peabody ,0.2536749599035033
Pelham ,0.2469135802469136
Pembroke ,0.304097771387491
Pepperell ,0.21844349680170577
Peru,0.32781456953642385
Windsor,0.32781456953642385
Petersham,0.20946538124452235
Phillipston,0.20946538124452235
Pittsfield ,0.32665631536398515
Plainville ,0.23948439620081413
