year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,04.25,中国,湖北,68128,4512,63604,0,,,,,0,11,0,,0,0,2020-04-24T01:04:26Z,2020-04
2020,04.26,中国,湖北,68128,4512,63616,0,,,,,0,12,0,,0,0,2020-04-26T00:28:20Z,2020-04
2020,04.27,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-04-27T00:56:10Z,2020-04
2020,04.28,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-04-28T01:02:37Z,2020-04
2020,04.29,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-04-29T00:22:20Z,2020-04
2020,04.30,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-04-30T00:19:01Z,2020-04
2020,05.01,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-01T00:28:03Z,2020-05
2020,05.02,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-02T01:23:29Z,2020-05
2020,05.03,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-03T00:43:09Z,2020-05
2020,05.04,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-04T01:02:52Z,2020-05
2020,05.05,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-04T23:59:32Z,2020-05
2020,05.06,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-06T01:20:05Z,2020-05
2020,05.07,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-07T00:46:40Z,2020-05
2020,05.08,中国,湖北,68128,4512,63616,0,,,,,0,0,0,,0,0,2020-05-08T00:54:24Z,2020-05
2020,05.09,中国,湖北,68129,4512,63616,1,,,,,1,0,0,,0,0,2020-05-09T00:30:41Z,2020-05
2020,05.10,中国,湖北,68134,4512,63616,5,,,,,5,0,0,,0,0,2020-05-10T00:57:23Z,2020-05
2020,05.11,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-11T00:55:12Z,2020-05
2020,05.12,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-12T00:48:21Z,2020-05
2020,05.13,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-13T00:56:11Z,2020-05
2020,05.14,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-14T00:56:59Z,2020-05
2020,05.15,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-15T00:40:19Z,2020-05
2020,05.16,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-16T02:22:05Z,2020-05
2020,05.17,中国,湖北,68134,4512,63616,0,,,,,0,0,0,,0,0,2020-05-17T01:26:27Z,2020-05
2020,05.18,中国,湖北,68135,4512,63616,1,,,,,1,0,0,,0,0,2020-05-18T00:42:18Z,2020-05
2020,05.19,中国,湖北,68135,4512,63616,0,,,,,0,0,0,,0,0,2020-05-19T00:46:25Z,2020-05
2020,05.20,中国,湖北,68135,4512,63616,0,,,,,0,0,0,,0,0,2020-05-20T01:23:11Z,2020-05
2020,05.21,中国,湖北,68135,4512,63616,0,,,,,0,0,0,,0,0,2020-05-21T00:50:59Z,2020-05
2020,05.22,中国,湖北,68135,4512,63616,0,,,,,0,0,0,,0,0,2020-05-22T00:50:05Z,2020-05
2020,05.23,中国,湖北,68135,4512,63616,0,,,,,0,0,0,,0,0,2020-05-23T00:39:15Z,2020-05
2020,05.24,中国,湖北,68135,4512,63617,0,,,,,0,1,0,,0,0,2020-05-24T00:38:41Z,2020-05
